Day,Date,Tests,CasesCumulative,DeathsCumulative,Cases,Deaths,,
1,25/01/2020,,0,0,0,0,,
2,26/01/2020,,0,0,0,0,,
3,27/01/2020,,0,0,0,0,,
4,28/01/2020,,0,0,0,0,,
5,29/01/2020,,0,0,0,0,,
6,30/01/2020,,0,0,0,0,,
7,31/01/2020,,2,0,2,0,,29/01/2020
8,01/02/2020,,2,0,0,0,,
9,02/02/2020,,2,0,0,0,,
10,03/02/2020,,2,0,0,0,,
11,04/02/2020,,2,0,0,0,,
12,05/02/2020,,2,0,0,0,,
13,06/02/2020,,3,0,1,0,,
14,07/02/2020,,3,0,0,0,,
15,08/02/2020,,3,0,0,0,,
16,09/02/2020,,4,0,1,0,,
17,10/02/2020,,8,0,4,0,,
18,11/02/2020,,8,0,0,0,,
19,12/02/2020,,8,0,0,0,,
20,13/02/2020,,9,0,1,0,,
21,14/02/2020,,9,0,0,0,,
22,15/02/2020,,9,0,0,0,,
23,16/02/2020,,9,0,0,0,,
24,17/02/2020,,9,0,0,0,,
25,18/02/2020,,9,0,0,0,,
26,19/02/2020,,9,0,0,0,,
27,20/02/2020,,9,0,0,0,,
28,21/02/2020,,9,0,0,0,,
29,22/02/2020,,9,0,0,0,,
30,23/02/2020,,9,0,0,0,,
31,24/02/2020,,13,0,4,0,,
32,25/02/2020,,13,0,0,0,,
33,26/02/2020,,13,0,0,0,,
34,27/02/2020,,13,0,0,0,,
35,28/02/2020,,19,0,6,0,,
36,29/02/2020,,23,0,4,0,,
37,01/03/2020,,35,0,12,0,,
38,02/03/2020,,40,0,5,0,,
39,03/03/2020,,51,0,11,0,,
40,04/03/2020,,85,0,34,0,,
41,05/03/2020,,114,0,29,0,,
42,06/03/2020,,160,1,46,1,,
43,07/03/2020,,206,2,46,1,,
44,08/03/2020,,271,2,65,0,,
45,09/03/2020,,321,3,50,1,,
46,10/03/2020,,373,7,52,4,,
47,11/03/2020,,456,7,83,0,,
48,12/03/2020,,590,9,134,2,,
49,13/03/2020,,797,10,207,1,,
50,14/03/2020,,1061,28,264,18,,
51,15/03/2020,,1391,42,330,14,,
52,16/03/2020,,1543,64,152,22,,
53,17/03/2020,,1950,80,407,16,,
54,18/03/2020,,2626,114,676,34,,
55,19/03/2020,,3269,159,643,45,,
56,20/03/2020,,3983,191,714,32,,
57,21/03/2020,,5018,249,1035,58,,
58,22/03/2020,,5683,285,665,36,,
59,23/03/2020,,6650,361,967,76,,
60,24/03/2020,,8077,509,1427,148,,
61,25/03/2020,,9529,700,1452,191,,
62,26/03/2020,,11658,881,2129,181,,
63,27/03/2020,,14548,1169,2890,288,,
64,28/03/2020,,17104,1461,2556,292,,
65,29/03/2020,,19606,1673,2502,212,,
66,30/03/2020,,22271,2047,2665,374,,
67,31/03/2020,,25521,2450,3250,403,,
68,01/04/2020,,30088,3122,4567,672,,
69,02/04/2020,,34610,3779,4522,657,,
70,03/04/2020,,39282,4515,4672,736,,
71,04/04/2020,,43282,5271,4000,756,,
72,05/04/2020,,49481,5870,6199,599,,
73,06/04/2020,,53624,6437,4143,567,,
74,07/04/2020,,57512,7542,3888,1105,,
75,08/04/2020,,63377,8572,5865,1030,,
76,09/04/2020,,68052,9688,4675,1116,,
77,10/04/2020,,73758,10810,5706,1122,,
78,11/04/2020,,78992,11653,5234,843,,
79,12/04/2020,,84280,12310,5288,657,,
80,13/04/2020,,88622,13034,4342,724,,
81,14/04/2020,,93874,14110,5252,1076,,
82,15/04/2020,,98479,14990,4605,880,,
83,16/04/2020,,103097,16026,4618,1036,,
84,17/04/2020,,108696,16939,5599,913,,
85,18/04/2020,,114222,18044,5526,1105,,
86,19/04/2020,,120072,18476,5850,432,,
87,20/04/2020,,124748,19046,4676,570,,
88,21/04/2020,,129049,20270,4301,1224,,
89,22/04/2020,,133500,21117,4451,847,,
90,23/04/2020,,138083,21799,4583,682,,
91,24/04/2020,,143469,22809,5386,1010,,
92,25/04/2020,,148382,23624,4913,815,,
93,26/04/2020,,152845,23988,4463,364,,
94,27/04/2020,,157155,24308,4310,320,,
95,28/04/2020,,161151,25277,3996,969,,
96,29/04/2020,,165227,26046,4076,769,,
97,30/04/2020,,171259,26680,6032,634,,
